Date,Close,SMA_50
2020-11-02,330.2,
2020-11-03,336.03,
2020-11-04,343.54,
2020-11-05,350.24,
2020-11-06,350.16,
2020-11-09,354.56,
2020-11-10,354.04,
2020-11-11,356.67,
2020-11-12,353.21,
2020-11-13,358.1,
2020-11-16,362.57,
2020-11-17,360.62,
2020-11-18,356.28,
2020-11-19,357.78,
2020-11-20,355.33,
2020-11-23,357.46,
2020-11-24,363.22,
2020-11-25,362.66,
2020-11-27,363.67,
2020-11-30,362.06,
2020-12-01,366.02,
2020-12-02,366.79,
2020-12-03,366.69,
2020-12-04,369.85,
2020-12-07,369.09,
2020-12-08,370.17,
2020-12-09,366.85,
2020-12-10,366.73,
2020-12-11,366.3,
2020-12-14,364.66,
2020-12-15,369.59,
2020-12-16,370.17,
2020-12-17,372.24,
2020-12-18,369.18,
2020-12-21,367.86,
2020-12-22,367.24,
2020-12-23,367.57,
2020-12-24,369.0,
2020-12-28,372.17,
2020-12-29,371.46,
2020-12-30,371.99,
2020-12-31,373.88,
2021-01-04,368.79,
2021-01-05,371.33,
2021-01-06,373.55,
2021-01-07,379.1,
2021-01-08,381.26,
2021-01-11,378.69,
2021-01-12,378.77,
2021-01-13,379.79,364.3036
2021-01-14,378.46,365.2688
2021-01-15,375.7,366.0622
2021-01-19,378.65,366.7644
2021-01-20,383.89,367.4374
2021-01-21,384.24,368.119
2021-01-22,382.88,368.6854
2021-01-25,384.39,369.2924
2021-01-26,383.79,369.83480000000003
2021-01-27,374.41,370.25879999999995
2021-01-28,377.63,370.6494
2021-01-29,370.07,370.79940000000005
2021-02-01,376.23,371.1116
2021-02-02,381.55,371.61699999999996
2021-02-03,381.85,372.0984
2021-02-04,386.19,372.7156
2021-02-05,387.71,373.32059999999996
2021-02-08,390.51,373.86640000000006
2021-02-09,390.25,374.41820000000007
2021-02-10,390.08,374.9464
2021-02-11,390.71,375.51939999999996
2021-02-12,392.64,376.0518
2021-02-16,392.3,376.56200000000007
2021-02-17,392.39,377.07599999999996
2021-02-18,390.72,377.49340000000007
2021-02-19,390.03,377.9122
2021-02-22,387.03,378.24940000000004
2021-02-23,387.5,378.6624
2021-02-24,391.77,379.1632
2021-02-25,382.33,379.48380000000003
2021-02-26,380.36,379.7978
2021-03-01,389.58,380.1976
2021-03-02,386.54,380.525
2021-03-03,381.42,380.7086
2021-03-04,376.7,380.85900000000004
2021-03-05,383.63,381.17440000000005
2021-03-08,381.72,381.46399999999994
2021-03-09,387.17,381.856
2021-03-10,389.58,382.26759999999996
2021-03-11,393.53,382.69480000000004
2021-03-12,394.06,383.1468
2021-03-15,396.41,383.63519999999994
2021-03-16,395.91,384.07579999999996
2021-03-17,397.26,384.64520000000005
2021-03-18,391.48,385.0482
2021-03-19,389.48,385.3668
2021-03-22,392.59,385.6366
2021-03-23,389.5,385.8014
2021-03-24,387.52,385.978
2021-03-25,389.7,386.19660000000005
2021-03-26,395.98,386.5204
2021-03-29,395.78,386.8668
2021-03-30,394.73,387.24739999999997
2021-03-31,396.33,387.601
